Number of nodes is 4039
Number of edges is 88234
Node - 0 Centrality - 1192496.113079
Node - 1 Centrality - 22.685643
Node - 2 Centrality - 0.619048
Node - 3 Centrality - 13.734470
Node - 4 Centrality - 1.500000
Node - 5 Centrality - 17.980159
Node - 6 Centrality - 0.200000
Node - 7 Centrality - 1388.052362
Node - 8 Centrality - 2.250000
Node - 9 Centrality - 134.113593
Node - 10 Centrality - 0.406454
Node - 11 Centrality - 0.000000
Node - 12 Centrality - 0.000000
Node - 13 Centrality - 14.363754
Node - 14 Centrality - 4.550433
Node - 15 Centrality - 0.000000
Node - 16 Centrality - 1.628466
Node - 17 Centrality - 3.347222
Node - 18 Centrality - 0.000000
Node - 19 Centrality - 41.266667
Node - 20 Centrality - 5.537338
Node - 21 Centrality - 7645.558165
Node - 22 Centrality - 5.463418
Node - 23 Centrality - 55.916667
Node - 24 Centrality - 1.114484
Node - 25 Centrality - 439.166654
Node - 26 Centrality - 157.751705
Node - 27 Centrality - 0.250000
Node - 28 Centrality - 3.107179
Node - 29 Centrality - 11.374158
Node - 30 Centrality - 11.162084
Node - 31 Centrality - 40.204494
Node - 32 Centrality - 0.000000
Node - 33 Centrality - 0.000000
Node - 34 Centrality - 29359.550513
Node - 35 Centrality - 0.000000
Node - 36 Centrality - 0.222222
Node - 37 Centrality - 0.000000
Node - 38 Centrality - 5.986268
Node - 39 Centrality - 7.782807
Node - 40 Centrality - 112.447584
Node - 41 Centrality - 38.090476
Node - 42 Centrality - 0.000000
Node - 43 Centrality - 0.000000
Node - 44 Centrality - 0.000000
Node - 45 Centrality - 2.465054
Node - 46 Centrality - 0.000000
Node - 47 Centrality - 0.000000
Node - 48 Centrality - 43.124176
Node - 49 Centrality - 1.500000
Node - 50 Centrality - 4.185767
Node - 51 Centrality - 0.750000
Node - 52 Centrality - 0.000000
Node - 53 Centrality - 88.428879
Node - 54 Centrality - 2.944048
Node - 55 Centrality - 1.480248
Node - 56 Centrality - 8844.048309
Node - 57 Centrality - 12.518687
Node - 58 Centrality - 687594.983375
Node - 59 Centrality - 5.929471
Node - 60 Centrality - 0.615064
Node - 61 Centrality - 0.500000
Node - 62 Centrality - 23.360580
Node - 63 Centrality - 0.000000
Node - 64 Centrality - 104.503388
Node - 65 Centrality - 5.619033
Node - 66 Centrality - 0.777761
Node - 67 Centrality - 7432.235407
Node - 68 Centrality - 1.200000
Node - 69 Centrality - 1.617175
Node - 70 Centrality - 0.000000
Node - 71 Centrality - 0.000000
Node - 72 Centrality - 14.773236
Node - 73 Centrality - 4.904004
Node - 74 Centrality - 0.000000
Node - 75 Centrality - 2.077692
Node - 76 Centrality - 0.000000
Node - 77 Centrality - 2.083333
Node - 78 Centrality - 0.000000
Node - 79 Centrality - 0.170111
Node - 80 Centrality - 1300.866238
Node - 81 Centrality - 0.500000
Node - 82 Centrality - 59.982885
Node - 83 Centrality - 0.750000
Node - 84 Centrality - 11.353549
Node - 85 Centrality - 4.101945
Node - 86 Centrality - 0.000000
Node - 87 Centrality - 377.040412
Node - 88 Centrality - 37.084444
Node - 89 Centrality - 2.700000
Node - 90 Centrality - 0.000000
Node - 91 Centrality - 2.250000
Node - 92 Centrality - 5.577525
Node - 93 Centrality - 0.766667
Node - 94 Centrality - 17.426885
Node - 95 Centrality - 0.500000
Node - 96 Centrality - 6.386880
Node - 97 Centrality - 0.333333
Node - 98 Centrality - 55.039780
Node - 99 Centrality - 6.652381
Node - 100 Centrality - 4.333333
Node - 101 Centrality - 6.431349
Node - 102 Centrality - 0.000000
Node - 103 Centrality - 767.718040
Node - 104 Centrality - 24.578727
Node - 105 Centrality - 3.328335
Node - 106 Centrality - 2.965873
Node - 107 Centrality - 3916560.144441
Node - 108 Centrality - 2.837734
Node - 109 Centrality - 47.173484
Node - 110 Centrality - 0.000000
Node - 111 Centrality - 12.465873
Node - 112 Centrality - 0.000000
Node - 113 Centrality - 42.622752
Node - 114 Centrality - 0.000000
Node - 115 Centrality - 27.171861
Node - 116 Centrality - 9.420274
Node - 117 Centrality - 1.708333
Node - 118 Centrality - 46.413848
Node - 119 Centrality - 12412.998093
Node - 120 Centrality - 364.630094
Node - 121 Centrality - 8.485574
Node - 122 Centrality - 6078.599065
Node - 123 Centrality - 4.012338
Node - 124 Centrality - 1.333333
Node - 125 Centrality - 67.131504
Node - 126 Centrality - 1.375000
Node - 127 Centrality - 5.192496
Node - 128 Centrality - 19.836679
Node - 129 Centrality - 0.366667
Node - 130 Centrality - 20.600011
Node - 131 Centrality - 0.000000
Node - 132 Centrality - 16.168802
Node - 133 Centrality - 14.709090
Node - 134 Centrality - 5.154388
Node - 135 Centrality - 0.000000
Node - 136 Centrality - 219012.322130
Node - 137 Centrality - 17.224603
Node - 138 Centrality - 0.000000
Node - 139 Centrality - 0.100000
Node - 140 Centrality - 0.746825
Node - 141 Centrality - 21.888484
Node - 142 Centrality - 42.121056
Node - 143 Centrality - 9.385714
Node - 144 Centrality - 6.876623
Node - 145 Centrality - 0.000000
Node - 146 Centrality - 1152.137792
Node - 147 Centrality - 0.200000
Node - 148 Centrality - 19.592615
Node - 149 Centrality - 2.986508
Node - 150 Centrality - 776.342961
Node - 151 Centrality - 0.277778
Node - 152 Centrality - 1.500000
Node - 153 Centrality - 0.000000
Node - 154 Centrality - 0.000000
Node - 155 Centrality - 0.333333
Node - 156 Centrality - 1347.101264
Node - 157 Centrality - 0.333333
Node - 158 Centrality - 39.063863
Node - 159 Centrality - 9.384163
Node - 160 Centrality - 0.000000
Node - 161 Centrality - 19.596094
Node - 162 Centrality - 0.476190
Node - 163 Centrality - 206.135623
Node - 164 Centrality - 0.142857
Node - 165 Centrality - 2.755249
Node - 166 Centrality - 3.559524
Node - 167 Centrality - 0.366667
Node - 168 Centrality - 2.555384
Node - 169 Centrality - 3278.216649
Node - 170 Centrality - 98.433161
Node - 171 Centrality - 126274.010922
Node - 172 Centrality - 68.277363
Node - 173 Centrality - 29595.236042
Node - 174 Centrality - 0.333333
Node - 175 Centrality - 26.976190
Node - 176 Centrality - 2.613745
Node - 177 Centrality - 2.535714
Node - 178 Centrality - 11.176731
Node - 179 Centrality - 0.500000
Node - 180 Centrality - 7.426966
Node - 181 Centrality - 1.500000
Node - 182 Centrality - 0.333333
Node - 183 Centrality - 0.000000
Node - 184 Centrality - 10.371800
Node - 185 Centrality - 23.052918
Node - 186 Centrality - 65.772871
Node - 187 Centrality - 3.327579
Node - 188 Centrality - 84.729563
Node - 189 Centrality - 104.503388
Node - 190 Centrality - 1.500000
Node - 191 Centrality - 0.000000
Node - 192 Centrality - 3.000000
Node - 193 Centrality - 1.500000
Node - 194 Centrality - 3.541613
Node - 195 Centrality - 0.000000
Node - 196 Centrality - 7.981548
Node - 197 Centrality - 4.395610
Node - 198 Centrality - 13553.625425
Node - 199 Centrality - 77.027208
Node - 200 Centrality - 112.755971
Node - 201 Centrality - 0.000000
Node - 202 Centrality - 62.397823
Node - 203 Centrality - 134.229660
Node - 204 Centrality - 22.247962
Node - 205 Centrality - 0.000000
Node - 206 Centrality - 1.333333
Node - 207 Centrality - 0.000000
Node - 208 Centrality - 0.151665
Node - 209 Centrality - 0.000000
Node - 210 Centrality - 0.000000
Node - 211 Centrality - 18.395595
Node - 212 Centrality - 6.732264
Node - 213 Centrality - 3815.586746
Node - 214 Centrality - 15.246429
Node - 215 Centrality - 0.000000
Node - 216 Centrality - 0.000000
Node - 217 Centrality - 258.967813
Node - 218 Centrality - 0.000000
Node - 219 Centrality - 2.000000
Node - 220 Centrality - 0.000000
Node - 221 Centrality - 0.399242
Node - 222 Centrality - 4.835949
Node - 223 Centrality - 9.187134
Node - 224 Centrality - 24.161726
Node - 225 Centrality - 1.185714
Node - 226 Centrality - 2.500036
Node - 227 Centrality - 12.885714
Node - 228 Centrality - 0.000000
Node - 229 Centrality - 2.290727
Node - 230 Centrality - 12.416667
Node - 231 Centrality - 23.527651
Node - 232 Centrality - 10.795985
