Node ID,Number of common features with ego nodes,Number of common circles
856,2,5.0
697,1,3.0
889,1,3.0
774,2,3.0
876,1,3.0
810,2,2.0
860,2,2.0
708,1,2.0
840,1,2.0
882,0,2.0
828,1,2.0
878,1,2.0
823,0,2.0
804,2,2.0
863,2,2.0
886,0,2.0
776,2,2.0
875,0,2.0
888,2,2.0
747,1,2.0
745,1,2.0
729,1,2.0
871,1,2.0
862,2,2.0
877,1,1.0
879,2,1.0
883,2,1.0
880,1,1.0
881,1,1.0
873,1,1.0
884,1,1.0
885,1,1.0
887,1,1.0
893,2,1.0
874,2,1.0
864,2,1.0
872,0,1.0
870,2,1.0
713,0,1.0
719,1,1.0
753,1,1.0
772,0,1.0
800,0,1.0
803,2,1.0
805,1,1.0
825,2,1.0
830,0,1.0
857,2,1.0
858,2,1.0
865,2,1.0
866,2,1.0
867,1,1.0
868,2,1.0
895,1,1.0
703,2,
769,1,
798,0,
811,1,
819,0,
859,1,
861,1,
869,2,
890,0,
891,1,
892,5,
894,2,
